original_file,new_file,canonical_file,asset_type,module_id,sequence,side,group,width,height,notes
card/card1/維京船員卡牌_頁面_01.png,knarr_core_crew_back.png,card_images/knarr_core_crew_back.png,card,core,0,back,crew,1529,2813,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_02.png,knarr_core_crew_001.png,card_images/knarr_core_crew_001.png,card,core,1,front,crew,1428,2695,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_03.png,knarr_core_crew_002.png,card_images/knarr_core_crew_002.png,card,core,2,front,crew,1420,2748,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_04.png,knarr_core_crew_003.png,card_images/knarr_core_crew_003.png,card,core,3,front,crew,1407,2724,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_05.png,knarr_core_crew_004.png,card_images/knarr_core_crew_004.png,card,core,4,front,crew,1429,2747,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_06.png,knarr_core_crew_005.png,card_images/knarr_core_crew_005.png,card,core,5,front,crew,1399,2647,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_07.png,knarr_core_crew_006.png,card_images/knarr_core_crew_006.png,card,core,6,front,crew,1395,2727,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_08.png,knarr_core_crew_007.png,card_images/knarr_core_crew_007.png,card,core,7,front,crew,1386,2649,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_09.png,knarr_core_crew_008.png,card_images/knarr_core_crew_008.png,card,core,8,front,crew,1386,2649,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_10.png,knarr_core_crew_009.png,card_images/knarr_core_crew_009.png,card,core,9,front,crew,1386,2632,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_11.png,knarr_core_crew_010.png,card_images/knarr_core_crew_010.png,card,core,10,front,crew,1416,2672,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_12.png,knarr_core_crew_011.png,card_images/knarr_core_crew_011.png,card,core,11,front,crew,1317,2569,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_13.png,knarr_core_crew_012.png,card_images/knarr_core_crew_012.png,card,core,12,front,crew,1301,2538,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
card/card1/維京船員卡牌_頁面_14.png,knarr_core_crew_013.png,card_images/knarr_core_crew_013.png,card,core,13,front,crew,1378,2617,維京船員卡；第 1 張為牌背，其餘 50 張為正面。
